Date,Company,Ticker,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Year,Month,1st Day Open to Close % Chg,1st Day Open to Close $ Chg,y
2020-01-17,I-Mab ,IMAB,14.0,14.75,12.75,-0.08928571428571429,0.75,-1.25,2.0,2020,1,-0.13559322033898305,-2.0,0
2020-01-17,LIZHI ,LIZI,11.0,11.03,11.63,0.05727272727272734,0.02999999999999936,0.6300000000000008,1.0,2020,1,0.054397098821396324,0.6000000000000014,1
2020-01-17,Phoenix Tree Holdings Ltd. ,DNK,13.5,13.5,13.5,0.0,0.0,0.0,1.0,2020,1,0.0,0.0,0
2020-01-17,Velocity Financial ,VEL,13.0,13.85,13.51,0.039230769230769215,0.8499999999999996,0.5099999999999998,1.0,2020,1,-0.024548736462093854,-0.33999999999999986,0
2020-01-24,Gores Holdings IV ,GHIVU,10.0,10.52,10.45,0.04499999999999993,0.5199999999999996,0.4499999999999993,1.0,2020,1,-0.00665399239543729,-0.07000000000000028,0
2020-01-24,SCVX Corp. ,SCVXU,10.0,10.3,10.32,0.03200000000000003,0.3000000000000007,0.3200000000000003,1.0,2020,1,0.0019417475728154925,0.019999999999999574,0
2020-01-28,AnPac Bio-Medical Science ,ANPC,12.0,12.0,11.25,-0.0625,0.0,-0.75,1.0,2020,1,-0.0625,-0.75,0
2020-01-29,Annovis Bio ,ANVS,6.0,6.63,9.59,0.5983333333333333,0.6299999999999999,3.59,1.0,2020,1,0.4464555052790347,2.96,1
2020-01-29,Black Diamond Therapeutics ,BDTX,19.0,33.0,39.48,1.077894736842105,14.0,20.479999999999997,3.0,2020,1,0.19636363636363627,6.479999999999997,1
2020-01-31,1Life Healthcare ,OWEM,14.0,18.0,22.07,0.5764285714285714,4.0,8.07,2.0,2020,1,0.22611111111111112,4.07,1
2020-01-31,Arcutis Biotherapeutics,ARQT,17.0,23.05,21.8,0.28235294117647064,6.050000000000001,4.800000000000001,2.0,2020,1,-0.05422993492407809,-1.25,0
2020-01-31,Reynolds Consumer Products ,REYN,26.0,27.5,28.55,0.0980769230769231,1.5,2.5500000000000007,2.0,2020,1,0.038181818181818206,1.0500000000000007,1
2020-02-04,InterPrivate Acquisition ,IPV.U,10.0,10.09,10.1,0.009999999999999964,0.08999999999999986,0.09999999999999964,1.0,2020,2,0.0009910802775024566,0.009999999999999787,0
2020-02-06,Beam Therapeutics ,BEAM,17.0,24.0,18.75,0.10294117647058823,7.0,1.75,3.0,2020,2,-0.21875,-5.25,0
2020-02-06,Casper Sleep ,CSPR,12.0,14.5,13.5,0.125,2.5,1.5,1.0,2020,2,-0.06896551724137931,-1.0,0
2020-02-06,PPD ,PPD,27.0,31.0,30.0,0.1111111111111111,4.0,3.0,3.0,2020,2,-0.03225806451612903,-1.0,0
2020-02-06,Schrodinger ,SDGR,17.0,26.0,28.64,0.6847058823529412,9.0,11.64,2.0,2020,2,0.10153846153846156,2.6400000000000006,1
2020-02-07,NexPoint Real Estate Finance ,NREF,19.0,16.0,18.8,-0.010526315789473648,-3.0,-0.1999999999999993,1.0,2020,2,0.17500000000000004,2.8000000000000007,1
2020-02-07,OneWater Marine ,ONEW,12.0,15.02,15.14,0.2616666666666667,3.0199999999999996,3.1400000000000006,1.0,2020,2,0.007989347536617909,0.120000000000001,0
2020-02-07,Professional Holding ,PFHD,18.5,19.31,19.55,0.056756756756756795,0.8099999999999987,1.0500000000000007,0.0,2020,2,0.012428793371310306,0.240000000000002,0
2020-02-11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,10.0,10.26,10.2,0.019999999999999928,0.2599999999999998,0.1999999999999993,1.0,2020,2,-0.005847953216374317,-0.0600000000000005,0
2020-02-11,Greenrose Acquisition ,GNRSU,10.0,10.02,10.07,0.007000000000000029,0.019999999999999574,0.07000000000000028,1.0,2020,2,0.0049900199600799115,0.05000000000000071,0
2020-02-12,Huize Holding Ltd. ,HUIZ,10.5,10.62,10.0,-0.047619047619047616,0.11999999999999922,-0.5,1.0,2020,2,-0.05838041431261763,-0.6199999999999992,0
2020-02-13,Yunhong International ,ZGYHU,10.0,10.01,10.0,0.0,0.009999999999999787,0.0,1.0,2020,2,-0.0009990009990009777,-0.009999999999999787,0
2020-02-13,Muscle Maker ,GRIL,5.0,4.7,3.86,-0.22800000000000004,-0.2999999999999998,-1.1400000000000001,1.0,2020,2,-0.1787234042553192,-0.8400000000000003,0
2020-02-13,Revolution Medicines ,RVMD,17.0,28.21,28.9,0.7,11.21,11.899999999999999,3.0,2020,2,0.024459411556185667,0.6899999999999977,0
2020-02-14,Churchill Capital Corp. III ,CCXX.U,10.0,10.58,10.51,0.050999999999999976,0.5800000000000001,0.5099999999999998,1.0,2020,2,-0.006616257088846908,-0.07000000000000028,0
2020-02-14,Newborn Acquisition ,NBACU,10.0,10.02,10.05,0.005000000000000071,0.019999999999999574,0.05000000000000071,1.0,2020,2,0.0029940119760480176,0.030000000000001137,0
2020-02-20,East Stone Acquisition ,ESSCU,10.0,10.05,10.01,0.0009999999999999788,0.05000000000000071,0.009999999999999787,1.0,2020,2,-0.003980099502487654,-0.040000000000000924,0
2020-02-21,dMY Technology Group ,DMYT.U,10.0,10.31,10.34,0.03399999999999999,0.3100000000000005,0.33999999999999986,1.0,2020,2,0.0029097963142579396,0.02999999999999936,0
2020-02-28,Passage BIO ,PASG,18.0,22.27,22.2,0.23333333333333328,4.27,4.199999999999999,3.0,2020,2,-0.003143242029636295,-0.07000000000000028,0
2020-03-03,GFL Environmental Holdings,GFL,19.0,17.5,16.8,-0.11578947368421048,-1.5,-2.1999999999999993,1.0,2020,3,-0.03999999999999996,-0.6999999999999993,0
2020-03-06,Flying Eagle Acquisition,FEAC.U,10.0,10.45,10.4,0.040000000000000036,0.4499999999999993,0.40000000000000036,1.0,2020,3,-0.004784688995215209,-0.049999999999998934,0
2020-03-06,LifeSci Acquisition,LSACU,10.0,10.1,10.25,0.025,0.09999999999999964,0.25,1.0,2020,3,0.014851485148514887,0.15000000000000036,0
2020-03-11,DFP Healthcare Acquisitions ,DFPHU,10.0,10.18,10.2,0.019999999999999928,0.17999999999999972,0.1999999999999993,1.0,2020,3,0.001964636542239644,0.019999999999999574,0
2020-03-12,IMARA ,IMRA,16.0,14.0,15.0,-0.0625,-2.0,-1.0,1.0,2020,3,0.07142857142857142,1.0,1
