Creditscore,Creditscoreindicator,Likelihoodoffailure,CreditlimitGBPGBP,Previouscreditscore,SMEindicator,ReturnonTotalAssets2020,ReturnonTotalAssets2019,ReturnonShareholdersFunds2020,ReturnonShareholdersFunds2019,ReturnonCapitalEmployed2020,ReturnonCapitalEmployed2019
92,Secure,0.9,681060,92,No,,3.235124075,,17.9517144,,17.90604912
89,Secure,0.9,913263,93,No,,0.532148979,,2.293829872,,2.293829872
33,Caution,11.2,1022000,92,No,,2.148244848,,3.214677185,,2.873447173
67,Stable,1.8,327298,44,No,,-0.083139243,,-0.602435377,,-0.602435377
86,Secure,0.9,651204,81,No,,-4.381821891,,,,-6.438533774
86,Secure,0.9,500,64,No,,-4.381955992,,,,-6.438823309
81,Secure,2.2,3079000,86,No,,11.2793547,,20.9809502,,17.24134841
92,Secure,0.9,8658000,95,No,1.059526103,2.879120879,59.13978495,225.862069,1.450421941,4.309210526
31,Caution,11.2,41430000,86,No,,8.943560058,,9.996764801,,8.963536681
92,Secure,0.9,6426000,77,No,,6.436127067,,9.806048072,,9.625350718
71,Stable,1.8,6530000,71,No,15.84423841,20.48024678,33.55116648,50.11510453,32.87873041,50.11510453
89,Secure,0.9,1321000,86,No,,-4.11311054,,-15,,-10.38961039
95,Secure,0.9,4291000,99,No,4.638857405,14.49404066,6.899413039,23.1422228,5.653045159,17.36087784
89,Secure,0.9,1841000,77,No,,2.885438556,,6.965820664,,3.882842705
95,Secure,0.9,8457000,95,No,,1.480453438,,5.04196223,,1.787802413
92,Secure,0.9,1877000,95,No,,5.500296423,,12.92669711,,12.44844208
97,Secure,0.9,6787000,89,No,1.23300597,0.638257815,4.632503491,2.313235305,1.543352713,0.754804693
89,Secure,0.9,2360000,86,No,-2.844857549,-3.374496862,,,-3.573379768,-3.996261578
24,Caution,11.2,,25,No,,-26.3955048,,,,68.24069388
89,Secure,0.9,3038000,97,No,,10.575226,,57.28741346,,14.84955857
92,Secure,0.9,1887000,95,No,,4.217980296,,36.33641342,,14.87982622
99,Secure,0.9,5172000,99,No,,27.88941876,,43.9429113,,41.59028563
86,Secure,0.9,3398000,92,No,,0.097343564,,0.268325172,,0.147592918
99,Secure,0.9,2456000,99,No,21.27651954,20.16354482,61.51323164,61.52804898,60.99751284,61.08686179
99,Secure,0.9,3589000,99,No,16.43566017,15.33593741,25.31172444,28.01641526,25.18100851,27.92274196
64,Stable,2.2,316207,85,No,,-12.87005216,,,,-257.9996503
99,Secure,0.9,4162000,95,No,10.03703572,10.73976178,14.75152435,14.44186669,14.36672486,14.42684811
99,Secure,0.9,3923000,95,No,,16.56102991,,34.17693377,,27.94534244
95,Secure,0.9,18683000,99,No,,4.926787693,,15.76612431,,6.318698073
77,Stable,2.2,1185000,89,No,,-5.883006899,,-33.15764255,,-11.80112817
92,Secure,0.9,3880000,92,No,,3.666074682,,6.254180602,,6.242697379
29,Caution,11.2,223954,64,No,-9.646391996,2.696527568,-134.0593764,6.064637296,-14.5410413,5.991804757
36,Caution,11.2,373728,92,No,,6.907655391,,10.35807556,,10.24934248
77,Stable,2.2,50000000,89,No,,1.792604024,,30.38229376,,29.87141444
92,Secure,0.9,11206000,99,No,,6.039209828,,7.236038578,,7.427561685
77,Stable,2.2,2213000,89,No,,-8.544410672,,-14.53384246,,-13.34098452
95,Secure,0.9,2544000,95,No,,4.408374563,,8.394681701,,8.133285202
92,Secure,0.9,2822000,92,No,,8.913340256,,42.69744564,,41.40828274
95,Secure,0.9,3661000,99,No,,4.490308186,,6.592079269,,6.323955418
68,Stable,2.2,703836,47,No,,-14.39815301,,,,-16.65242216
68,Stable,2.2,247065,47,No,,-6.445160031,,,,-24.6862055
99,Secure,0.9,1591000,99,No,3.870073915,5.854538984,12.54008189,18.69621692,10.35290285,13.89497818
99,Secure,0.9,4099000,99,No,,12.79973643,,18.83179835,,18.83179835
89,Secure,0.9,2688000,81,No,,-1.858718342,,-17.52651447,,-10.55080619
86,Secure,0.9,1976000,86,No,,0.29673139,,0.589578488,,0.589578488
99,Secure,0.9,6085000,92,No,,13.65337495,,24.88625498,,21.6636903
92,Secure,0.9,2466000,77,No,,-4.92881304,,-11.47377692,,-10.61499661
92,Secure,0.9,4104000,92,No,,13.77189063,,25.48962262,,25.00865779
89,Secure,0.9,3707000,89,No,,-1.061141991,,-7.368421053,,-1.258992806
81,Secure,2.2,1308000,81,No,,-4.637096774,,,,-5.014534884
22,Caution,11.2,,23,No,,-29.86037966,,,,27.17320803
99,Secure,0.9,4154000,99,No,13.72344689,15.90760771,23.54041196,24.56711387,17.76504893,20.20546549
37,Caution,4.2,384037,99,No,9.466156208,9.663091962,31.71636932,37.07398777,31.49489202,37.07398777
39,Caution,4.2,2064000,99,No,6.170073177,6.168921209,9.624043578,10.10481687,9.548280279,10.0406239
92,Secure,0.9,2404000,95,No,1.773063775,2.902765944,2.97229421,4.882249997,2.878172458,4.706179268
95,Secure,0.9,1910000,99,No,8.916076442,8.404995085,45.57141817,64.76826394,14.38755447,15.98576335
95,Secure,0.9,5900000,95,No,,6.499816116,,10.60253644,,8.866630874
92,Secure,0.9,6734000,92,No,,11.70555061,,17.59070327,,16.17953057
95,Secure,0.9,1904000,85,No,,8.440473349,,41.60596212,,22.64962479
31,Caution,11.2,500,95,No,-13.03780965,0.469723272,-51.28205128,1.478624237,-14.50730945,0.5044966
88,Secure,0.9,3459000,90,No,1.442375773,5.249885629,8.212078166,20.09910718,3.227558734,15.84815414
99,Secure,0.9,3581000,99,No,,10.61208577,,13.87460861,,13.5111754
89,Secure,0.9,4869000,31,No,20.52535125,14.27378965,47.72727273,36.30573248,35.2570829,22.32375979
88,Secure,0.9,1198000,99,No,0.292857143,5.224836419,1.674323635,38.44105296,1.098312349,23.44013491
68,Stable,2.2,2290,55,No,,-12.09386455,,,,-18.73826064
92,Secure,0.9,2741000,99,No,,0.866010212,,1.549751241,,1.344807277
15,High Risk,14.5,,15,No,-112.051154,-97.50944238,,,30.57904942,96.13476785
89,Secure,0.9,1393000,99,No,,0.074848867,,0.15083049,,0.150553893
99,Secure,0.9,1144000,99,No,,11.21867736,,26.75438597,,26.75438597
52,Normal,4.2,95496,60,No,,3.885636968,,26.05732144,,26.04415558
99,Secure,0.9,1767000,99,No,4.846619305,5.323768171,10.79678782,11.14404268,10.71160661,11.06347205
99,Secure,0.9,2126000,99,No,6.012389818,5.059047238,12.21693791,9.833195545,11.8724559,9.592030361
88,Secure,0.9,939492,92,No,,0.050130339,,0.558205623,,0.558205623
92,Secure,0.9,813537,93,No,11.87162816,13.85080576,37.45962462,42.30244517,37.07768081,41.12006529
99,Secure,0.9,1944000,95,No,,12.19059068,,24.00215169,,23.9802225
95,Secure,0.9,3972000,99,No,,15.40045094,,48.87685894,,187.0683496
42,Normal,5,2888000,,No,,-0.179360394,,-0.770442156,,-0.19391919
42,Normal,5,2865000,,No,,-0.179360394,,-0.776525172,,-0.193917219
17,High Risk,14.5,,85,No,,-18.15054062,,,,274.2583263
95,Secure,0.9,4392000,88,No,,11.83716066,,25.00628517,,20.68400131
99,Secure,0.9,19397000,99,No,,17.43993718,,23.33949139,,22.87270028
92,Secure,0.9,2639000,92,No,,-1.837222344,,-5.108128262,,-4.826415578
77,Stable,2.2,1607000,85,No,,-2.436949808,,-5.801061529,,-3.323871956
64,Stable,2.2,103858,81,No,5.093403386,2.755344418,247.5177305,185.106383,247.5177305,185.106383
39,Caution,4.2,4012000,95,No,,5.817855541,,9.507749608,,8.280547609
95,Secure,0.9,3963000,99,No,6.300903918,8.662373311,11.53622747,15.60405078,9.40620196,12.49001028
93,Secure,0.9,841249,88,No,,18.68699287,,96.70968915,,94.00954232
86,Secure,0.9,1233000,86,No,,32.17507712,,42.49365824,,42.49365824
77,Stable,2.2,6397000,92,No,,41.30331436,,57.35274205,,56.75521758
92,Secure,0.9,246082,92,No,,10.94227166,,37.53646988,,27.75275912
95,Secure,0.9,2020000,95,No,0.421616325,0.300207727,3.368702998,2.204115742,2.728334631,1.974238219
92,Secure,0.9,2854000,92,No,,7.898859506,,12.3467472,,11.4937463
85,Secure,0.9,4439000,92,No,,4.128395062,,14.02449254,,13.5638791
31,Caution,11.2,146446,85,No,9.439038773,6.985101934,46.45383639,48.12063921,45.56128803,48.12063921
44,Normal,4.2,500,55,No,,1.043635553,,,,-12.56167438
31,Caution,11.2,500,88,No,,-0.0758504,,-0.649675162,,-0.336004135
73,Stable,2.2,330427,73,No,4.335886043,4.231892384,67.3370319,72.99752271,67.3370319,72.99752271
30,Caution,11.2,50000000,85,No,,1.611145454,,23.2712722,,21.34494055
81,Secure,2.2,500,81,No,-0.024614397,-0.022696248,,,-0.024788871,-0.022864158
50,Normal,4.2,500,50,No,,-2.27571116,,,,-4.816111141
89,Secure,0.9,3298000,31,No,,3.271246893,,5.272719731,,4.279010899
77,Stable,2.2,7486000,86,No,,6.862745098,,62.5,,8.254716981
77,Stable,2.2,106805,92,No,,0.323029696,,13.03424182,,13.03424182
95,Secure,0.9,427044,68,No,8.797963304,-13.12162333,637.10524,,184.089266,
88,Secure,0.9,528092,89,No,,1.275629837,,20.88311452,,20.88311452
28,Caution,11.2,485086,55,No,,11.65028781,,23.12509821,,21.76954124
99,Secure,0.9,1922000,99,No,,15.80143337,,21.18265632,,20.92374892
90,Secure,0.9,37008,85,No,,0.938725322,,42.20881174,,40.1689572
93,Secure,0.9,4494000,93,No,,197.9625668,,422.0372798,,422.0372798
77,Stable,2.2,66795,97,No,,0.159165979,,2.823285515,,2.616822712
89,Secure,0.9,1393000,81,No,,13.93081361,,29.50950304,,29.37349268
77,Stable,2.2,8412000,89,No,5.454922346,1.477713198,8.784803138,6.549691135,8.05561933,5.958277965
92,Secure,0.9,1000000,85,No,,-1.472251194,,-4.544838338,,-2.552243919
77,Stable,2.2,23269,85,No,,0.862627581,,23.03865318,,20.45676568
95,Secure,0.9,1124000,95,No,,5.500376055,,11.52446717,,10.1100286
77,Stable,2.2,8167000,86,No,,3.892291,,5.248472385,,5.231576381
24,Caution,11.2,,25,No,29.07722948,70.9827701,,,,
64,Stable,2.2,536660,85,No,,3.431117229,,44.485257,,44.24031767
95,Secure,0.9,400217,81,No,14.30428751,-8.833496058,230.6929051,,141.9478909,-372.1487944
92,Secure,0.9,8619000,92,No,,3.271897462,,3.867481203,,3.44921523
99,Secure,0.9,2133000,99,No,9.878415064,13.53143954,13.15880588,18.54812984,13.12195496,18.51269601
81,Secure,2.2,944775,86,No,,-5.957376364,,,,-7.550442354
86,Secure,0.9,781088,68,No,,-2.707762988,,-7.131905018,,-6.479912647
89,Secure,0.9,9641000,89,No,,0.510025574,,3.081504626,,2.14234803
95,Secure,0.9,1724000,97,No,10.6208024,10.82178349,14.57618415,15.70613823,13.84332455,14.17125715
81,Secure,2.2,394914,81,No,,4.553184714,,10.53832483,,9.403761791
99,Secure,0.9,4343000,99,No,9.414564437,12.08582175,12.4261508,16.01876182,12.06815636,14.17324546
92,Secure,0.9,549357,92,No,,2.993360937,,25.997771,,12.62511939
41,Normal,4.2,44862,,No,,6.818663423,,242.7945971,,242.7945971
95,Secure,0.9,1185000,99,No,,1.967511974,,5.426687539,,4.19109027
31,Caution,11.2,263587,86,No,,5.347216628,,12.39900995,,9.669665295
95,Secure,0.9,5486000,95,No,2.923160039,2.811460525,8.395443896,7.457177292,3.291312394,3.086007827
89,Secure,0.9,173486,92,No,,1.689821024,,92.29949844,,91.05461118
92,Secure,0.9,858529,92,No,,1.939701772,,7.425095782,,4.772036139
99,Secure,0.9,3053000,97,No,,14.78729094,,23.78223049,,19.80310559
95,Secure,0.9,2143000,95,No,,17.25368583,,30.87774781,,25.29848092
89,Secure,0.9,457620,88,No,,1.347840421,,5.476651235,,4.599859173
86,Secure,0.9,844262,86,No,,7.840631897,,19.35602802,,18.91967646
33,Caution,11.2,556529,95,No,-5.181891433,2.002598311,-14.20383474,5.201839692,-5.465588221,2.106135782
95,Secure,0.9,2013000,92,No,,2.712001531,,6.677361893,,5.420773985
31,Caution,11.2,500,77,No,,6.362117287,,10.42520826,,10.42520826
92,Secure,0.9,1800000,95,No,,2.450980604,,3.661634767,,2.818725436
29,Caution,11.2,443243,85,No,,7.269652049,,10.75967649,,14.60235532
99,Secure,0.9,3471000,99,No,,13.94416329,,56.68330162,,17.28600521
99,Secure,0.9,1510000,99,No,,6.127296335,,17.68097838,,11.86019168
92,Secure,0.9,370647,86,No,,5.01923141,,42.98819345,,19.07431445
97,Secure,0.9,2698000,89,No,,30.63913471,,42.58648672,,41.9469101
68,Stable,2.2,390079,47,No,,-18.42466601,,,,-19.83883321
30,Caution,11.2,50406,92,No,,-2.937318417,,-9.951102826,,-6.538924103
95,Secure,0.9,237520,92,No,,0.597232534,,7.777268781,,2.915321517
88,Secure,0.9,4399000,92,No,,3.172077177,,5.783723783,,4.550364259
55,Normal,4.2,500,81,No,,-40.77197286,,,,-81.09323778
86,Secure,0.9,456735,92,No,,2.581036855,,11.12548796,,11.12548796
77,Stable,2.2,359863,92,No,,-3.867046981,,-10.82268239,,-10.72001299
92,Secure,0.9,270136,92,No,8.025189268,6.497961274,29.37196873,21.77853402,21.53851189,15.05670309
92,Secure,0.9,245364,55,No,6.588941633,,20.23652275,,15.77129419,
89,Secure,0.9,3552,93,No,,-3.195970426,,,,-11.79155573
85,Secure,0.9,449711,92,No,0.97088016,1.34897,1.808489023,3.012172193,1.808489023,3.011956901
92,Secure,0.9,256454,95,No,,1.940157651,,7.408228233,,6.747503607
42,Normal,5,3935000,,No,,13.11267035,,19.94435475,,19.63496042
